Frequency kHz,Phase (deg),Vr pp (V)
0.5,-87.3,0.449
1,-85.4,0.919
1.5,-82.1,1.441
2,-78.9,2.051
2.5,-74.4,2.806
3,-69.4,3.775
3.5,-61.8,5.079
4,-49.6,6.88
4.5,-30.7,8.88
4.2,-42.8,7.7
4.4,-35.2,8.52
4.6,-25.8,9.25
4.8,-15.2,9.78
4.7,-20.6,9.57
4.9,-9.7,9.98
5,-4.3,10.05
5.1,1.3,10.08
5.2,6.9,10.04
5.3,12.1,9.9
5.4,16.9,9.7
5.5,21.7,9.51
5.6,25.7,9.24
5.7,29.5,8.95
5.9,36.4,8.4
6,39.3,8.09
6.2,44.8,7.54
6.5,50.7,6.76
7,57.9,5.71
7.5,63.1,4.95
8,66.5,4.37
8.5,69.5,3.91
9,71.3,3.55
9.5,73.1,3.2
10,74.4,2.951
10.5,75.5,2.742
11,76.5,2.559
11.5,77.3,2.402
12,78.2,2.266
12.5,78.9,2.143
13,79.3,2.039
13.5,80,1.943
14,80.4,1.857
14.5,80.9,1.779
15,81.3,1.707
15.5,81.5,1.642
16,81.9,1.579
16.5,82.5,1.522
17,82.6,1.468
4.75,-17.9,9.67
4.85,-12.4,9.9
4.95,-7.1,10.03
5.05,-1.5,10.08
5.15,4,10.07
5.25,9.5,9.96
5.025,-2.9,10.07
5.075,-0.1,10.08
5.125,2.6,10.07
5.175,5.4,10.05
5.225,8.2,10.01